Streets of New Capenna,Modern/SNC,SNC
Modern Masters,Reprint/MMA,MMA

Strixhaven Mystical Archive,Special/STA,STA
Zendikar Rising Expeditions,Special/ZNE,ZNE
Mythic Edition,Special/MED,MED
Amonkhet Invocations,Special/MP2,MP2
Kaladesh Inventions,Special/MPS,MPS
Zendikar Expeditions,Special/EXP,EXP

Planechase Anthology,Supplemental/PCA,PCA
Planechase,Supplemental/HOP,HOP
Archenemy: Nicol Bolas,Supplemental/E01,E01
Archenemy,Supplemental/ARC,ARC
Commander Anthology Volume II,Commander/CM2,CM2
Commander Anthology,Commander/CMA,CMA
Commander's Arsenal,Commander/CM1,CM1
RNA Guild Kit,Supplemental/GK2,GK2
GRN Guild Kit,Supplemental/GK1,GK1
Explorers of Ixalan,Supplemental/E02,E02

M19 Gift Pack,Special/G18,G18
Welcome Deck 2017,Special/W17,W17
Welcome Deck 2016,Special/W16,W16

Duel Decks: Elves vs. Inventors,Reprint/DDU,DDU
Duel Decks: Merfolk vs. Goblins,Reprint/DDT,DDT
Duel Decks: Mind vs. Might,Reprint/DDS,DDS
Duel Decks: Nissa vs. Ob Nixilis,Reprint/DDR,DDR
Duel Decks: Blessed vs. Cursed,Reprint/DDQ,DDQ
Duel Decks: Zendikar vs. Eldrazi,Reprint/DDP,DDP
Duel Decks: Elspeth vs. Kiora,Reprint/DDO,DDO
Duel Decks: Speed vs. Cunning,Reprint/DDN,DDN
Duel Decks: Jace vs. Vraska,Reprint/DDM,DDM
Duel Decks: Heroes vs. Monsters,Reprint/DDL,DDL
Duel Decks: Sorin vs. Tibalt,Reprint/DDK,DDK
Duel Decks: Mirrodin Pure vs. New Phyrexia,Reprint/TD2,TD2
Duel Decks: Izzet vs. Golgari,Reprint/DDJ,DDJ
Duel Decks: Venser vs. Koth,Reprint/DDI,DDI
Duel Decks: Ajani vs. Nicol Bolas,Reprint/DDH,DDH
Duel Decks: Knights vs. Dragons,Reprint/DDG,DDG
Duel Decks: Elspeth vs. Tezzeret,Reprint/DDF,DDF
Duel Decks: Phyrexia vs. the Coalition,Reprint/DDE,DDE
Duel Decks: Garruk vs. Liliana,Reprint/DDD,DDD
Duel Decks: Divine vs. Demonic,Reprint/DDC,DDC
Duel Decks: Jace vs. Chandra,Reprint/DD2,DD2
Duel Decks: Elves vs. Goblins,Reprint/DD1,DD1
From the Vault: Transform,Reprint/V17,V17
From the Vault: Lore,Reprint/V16,V16
From the Vault: Angels,Reprint/V15,V15
From the Vault: Annihilation,Reprint/V14,V14
From the Vault: Twenty,Reprint/V13,V13
From the Vault: Realms,Reprint/V12,V12
From the Vault: Legends,Reprint/V11,V11
From the Vault: Relics,Reprint/V10,V10
From the Vault: Exiled,Reprint/V09,V09
From the Vault: Dragons,Reprint/DRB,DRB
Premium Deck Series: Graveborn,Reprint/PD3,PD3
Premium Deck Series: Fire and Lightning,Reprint/PD2,PD2
Premium Deck Series: Slivers,Reprint/H09,H09
Masters Edition IV,Reprint/ME4,ME4
Masters Edition III,Reprint/ME3,ME3
Masters Edition II,Reprint/ME2,ME2
Masters Edition,Reprint/ME1,ME1
Chronicles,Reprint/CHR,CHR

Happy Holidays,Funny/HHO,HHO
2019 Heroes of the Realm,Funny/HTR19,HTR19
2018 Heroes of the Realm,Funny/HTR18,HTR18
2017 Heroes of the Realm,Funny/HTR17,HTR17
2016 Heroes of the Realm,Funny/HTR16,HTR16

Secret Lair Drop,Special/SLD,SLD

Planechase Anthology Planes,Supplemental/OPCA,OPCA
Planechase 2012 Planes,Supplemental/OPC2,OPC2
Planechase Planes,Supplemental/OHOP,OHOP
Promotional Planes,Supplemental/PHOP,PHOP
Archenemy: Nicol Bolas Schemes,Supplemental/OE01,OE01
Archenemy Schemes,Supplemental/OARC,OARC
Promotional Schemes,Supplemental/PARC,PARC

Vanguard Series,Special/PVAN,PVAN
Magic Online Avatars,Special/PMOA,PMOA
